codigo_plano;ano_plano;modalidade;situacao;beneficiario;cnpj_beneficiario;uf;banco;agencia;conta;dv_agencia;dv_conta;parlamentar;ano_emenda;numero_emenda;codigo_emenda;area_politica;programa_orcamentario;valor_custeio;valor_investimento;natureza_juridica
09032025-2-088419;2025;Especial;CIENTE;MUNICIPIO DE MIRANORTE;02070720000159;TO;Banco do Brasil;4560;19645;8;2;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;14-Direitos da Cidadania / 422-Direitos Individuais, Coletivos e Difusos;Não informado;0.0;221745.15;Município
09032025-2-088430;2025;Especial;CIENTE;MUNICIPIO DE SANDOLANDIA;37344355000108;TO;Banco do Brasil;1304;195830;8;5;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;20-Agricultura / 606-Extensão Rural;Não informado;0.0;396000.0;Município
09032025-2-087441;2025;Especial;CIENTE;MUNICIPIO DE GOIANORTE;25086612000170;TO;Banco do Brasil;1306;31630;4;X;Ricardo Ayres;2025;202544590002;202544590002-RICARDO AYRES;12-Educação / 361-Ensino Fundamental , 12-Educação / 365-Educação Infantil , 12-Educação / 368-Educação Básica;Não informado;0.0;396000.0;Município
09032025-2-088413;2025;Especial;CIENTE;MUNICIPIO DE SAO SALVADOR DO TOCANTINS;37344371000109;TO;Banco do Brasil;4608;20533;6;8;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;495000.0;Município
09032025-2-088299;2025;Especial;CIENTE;MUNICIPIO DE GOIATINS;01832476000151;TO;Caixa Econômica Federal;610;573442816;6;3;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;396000.0;Município
09032025-2-086481;2025;Especial;CIENTE;MUNICIPIO DE GOIATINS;01832476000151;TO;Caixa Econômica Federal;610;573395143;6;1;Eli Borges;2025;202539730005;202539730005-ELI BORGES;8-Assistência Social / 245-Serviços Socioassistenciais;Não informado;574200.0;0.0;Município
09032025-2-086484;2025;Especial;CIENTE;MUNICIPIO DE SANDOLANDIA;37344355000108;TO;Banco do Brasil;1304;195836;8;4;Eli Borges;2025;202539730005;202539730005-ELI BORGES;20-Agricultura / 606-Extensão Rural;Não informado;0.0;396000.0;Município
09032025-2-087036;2025;Especial;CIENTE;MUNICIPIO DE PALMEIRAS DO TOCANTINS;25064056000130;TO;Banco do Brasil;810;53436;9;6;Eduardo Gomes;2025;202541860008;202541860008-EDUARDO GOMES;27-Desporto e Lazer / 813-Lazer;Não informado;0.0;396000.0;Município
09032025-2-086590;2025;Especial;CIENTE;MUNICIPIO DE PORTO ALEGRE DO TOCANTINS;33254558000152;TO;Banco do Brasil;1307;43697;2;6;Carlos Henrique Gaguim;2025;202530680010;202530680010-CARLOS HENRIQUE GAGUIM;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;495000.0;Município
09032025-2-086483;2025;Especial;CIENTE;MUNICIPIO DE PALMEIRAS DO TOCANTINS;25064056000130;TO;Banco do Brasil;810;53435;9;8;Eli Borges;2025;202539730005;202539730005-ELI BORGES;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;693000.0;Município
09032025-2-088412;2025;Especial;IMPEDIDO;MUNICIPIO DE ARAGOMINAS;25063884000154;TO;Caixa Econômica Federal;610;57460055;6;;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;20-Agricultura / 605-Abastecimento , 20-Agricultura / 606-Extensão Rural , 20-Agricultura / 607-Irrigação , 20-Agricultura / 608-Promoção da Produção Agropecuária , 20-Agricultura / 609-Defesa Agropecuária;Não informado;0.0;396000.0;Município
09032025-2-088301;2025;Especial;CIENTE;MUNICIPIO DE GUARAI;02070548000133;TO;Caixa Econômica Federal;4481;573503518;4;1;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;396000.0;Município
09032025-2-088297;2025;Especial;CIENTE;MUNICIPIO DE COUTO DE MAGALHAES;02133098000180;TO;Banco do Brasil;1306;31970;4;8;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;8-Assistência Social / 244-Assistência Comunitária , 15-Urbanismo / 244-Assistência Comunitária;Não informado;0.0;396000.0;Município
09032025-2-088304;2025;Especial;CIENTE;MUNICIPIO DE PALMEIRAS DO TOCANTINS;25064056000130;TO;Banco do Brasil;810;53434;9;X;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;396000.0;Município
09032025-2-086624;2025;Especial;CIENTE;MUNICIPIO DE PALMAS;24851511000185;TO;Caixa Econômica Federal;3458;573395281;4;0;Irajá;2025;202540960005;202540960005-IRAJÁ;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;396000.0;0.0;Município
09032025-2-085825;2025;Especial;CIENTE;MUNICIPIO DE SAO SALVADOR DO TOCANTINS;37344371000109;TO;Banco do Brasil;4608;20531;6;1;Antonio Andrade;2025;202543050005;202543050005-ANTONIO ANDRADE;8-Assistência Social / 245-Serviços Socioassistenciais;Não informado;384112.08;0.0;Município
09032025-2-086586;2025;Especial;CIENTE;MUNICIPIO DE PEQUIZEIRO;25086604000123;TO;Banco do Brasil;1306;31627;4;X;Carlos Henrique Gaguim;2025;202530680010;202530680010-CARLOS HENRIQUE GAGUIM;15-Urbanismo / 451-Infraestrutura Urbana , 25-Energia / 752-Energia Elétrica;Não informado;0.0;495000.0;Município
09032025-2-088309;2025;Especial;CIENTE;MUNICIPIO DE PEQUIZEIRO;25086604000123;TO;Banco do Brasil;1306;31637;4;7;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;27-Desporto e Lazer / 812-Desporto Comunitário;Não informado;0.0;396000.0;Município
09032025-2-088414;2025;Especial;CIENTE;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Caixa Econômica Federal;3459;573107615;2;0;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;495000.0;Município
09032025-2-087039;2025;Especial;CIENTE;MUNICIPIO DE FORMOSO DO ARAGUAIA;02075216000141;TO;Caixa Econômica Federal;793;573650316;5;2;Eduardo Gomes;2025;202541860008;202541860008-EDUARDO GOMES;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;445500.0;Município
09032025-2-087890;2025;Especial;CIENTE;MUNICIPIO DE PONTE ALTA DO TOCANTINS;01067974000155;TO;Caixa Econômica Federal;3459;573636776;2;5;Vicentinho Júnior;2025;202537750008;202537750008-VICENTINHO JÚNIOR;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;396000.0;Município
09032025-2-087440;2025;Especial;CIENTE;MUNICIPIO DE TAGUATINGA;02306900000197;TO;Caixa Econômica Federal;3738;573622368;9;2;Ricardo Ayres;2025;202544590002;202544590002-RICARDO AYRES;23-Comércio e Serviços / 695-Turismo;Não informado;0.0;792000.0;Município
09032025-2-087500;2025;Especial;CIENTE;MUNICIPIO DE MONTE DO CARMO;01067891000166;TO;Caixa Econômica Federal;793;573029066;5;3;Alexandre Guimarães;2025;202542940004;202542940004-ALEXANDRE GUIMARÃES;12-Educação / 361-Ensino Fundamental , 15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;297000.0;Município
09032025-2-088420;2025;Especial;CIENTE;MUNICIPIO DE PIUM;01189497000109;TO;Caixa Econômica Federal;1141;573636778;0;1;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;396000.0;Município
09032026-089477;2026;Especial;CIENTE;MUNICIPIO DE COUTO DE MAGALHAES;02133098000180;TO;Banco do Brasil;1306;32401;4;9;Antonio Andrade;2026;202643050006;202643050006-ANTONIO ANDRADE;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;497500.0;Município
09032025-076398;2025;Especial;IMPEDIDO;MUNICIPIO DE ANANAS;00237362000109;TO;Banco do Brasil;3973;;X;;Antonio Andrade;2025;202543050005;202543050005-ANTONIO ANDRADE;18-Gestão Ambiental / 541-Preservação e Conservação Ambiental;Não informado;742500.0;0.0;Município
09032025-084394;2025;Especial;IMPEDIDO;MUNICIPIO DE ANGICO;25064098000171;TO;Banco do Brasil;3973;;X;;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;396000.0;Município
09032025-078753;2025;Especial;IMPEDIDO;MUNICIPIO DE ARRAIAS;01125780000169;TO;Caixa Econômica Federal;3738;;9;;Eli Borges;2025;202539730005;202539730005-ELI BORGES;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;670725.0;Município
09032025-082940;2025;Especial;IMPEDIDO;MUNICIPIO DE AUGUSTINOPOLIS;00237206000130;TO;Caixa Econômica Federal;4381;;8;;Vicentinho Júnior;2025;202537750008;202537750008-VICENTINHO JÚNIOR;20-Agricultura / 605-Abastecimento , 20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;990000.0;Município
09032025-084545;2025;Especial;IMPEDIDO;MUNICIPIO DE AURORA DO TOCANTINS;01067107000110;TO;Banco do Brasil;3977;;2;;Alexandre Guimarães;2025;202542940004;202542940004-ALEXANDRE GUIMARÃES;20-Agricultura / 606-Extensão Rural , 20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;749952.72;Município
09032026-089486;2026;Especial;CIENTE;MUNICIPIO DE PEQUIZEIRO;25086604000123;TO;Banco do Brasil;1306;32402;4;7;Antonio Andrade;2026;202643050006;202643050006-ANTONIO ANDRADE;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;995000.0;Município
09032025-077808;2025;Especial;IMPEDIDO;MUNICIPIO DE BREJINHO DE NAZARE;02884153000174;TO;Caixa Econômica Federal;1829;;5;;Carlos Henrique Gaguim;2025;202530680010;202530680010-CARLOS HENRIQUE GAGUIM;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;990000.0;Município
09032025-084892;2025;Especial;IMPEDIDO;MUNICIPIO DE CARRASCO BONITO;25064023000190;TO;Banco do Brasil;3975;;6;;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;396000.0;Município
09032025-084374;2025;Especial;IMPEDIDO;MUNICIPIO DE COUTO DE MAGALHAES;02133098000180;TO;Banco do Brasil;1306;;4;;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;396000.0;Município
09032025-084404;2025;Especial;IMPEDIDO;MUNICIPIO DE CRISTALANDIA;01067156000152;TO;Banco do Brasil;3638;;2;;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;8-Assistência Social / 245-Serviços Socioassistenciais , 25-Energia / 752-Energia Elétrica;Não informado;0.0;396000.0;Não encontrado
09032025-078743;2025;Especial;IMPEDIDO;MUNICIPIO DE DOIS IRMAOS DO TOCANTINS;02070563000181;TO;Caixa Econômica Federal;1141;;0;;Eli Borges;2025;202539730005;202539730005-ELI BORGES;12-Educação / 365-Educação Infantil;Não informado;574200.0;0.0;Município
09032025-082938;2025;Especial;IMPEDIDO;MUNICIPIO DE FATIMA;00114801000188;TO;Caixa Econômica Federal;1829;;5;;Vicentinho Júnior;2025;202537750008;202537750008-VICENTINHO JÚNIOR;15-Urbanismo / 451-Infraestrutura Urbana , 16-Habitação / 482-Habitação Urbana;Não informado;0.0;495000.0;Não encontrado
09032025-076399;2025;Especial;IMPEDIDO;MUNICIPIO DE FILADELFIA;00766709000100;TO;Banco do Brasil;2064;;8;;Antonio Andrade;2025;202543050005;202543050005-ANTONIO ANDRADE;15-Urbanismo / 451-Infraestrutura Urbana , 23-Comércio e Serviços / 695-Turismo;Não informado;0.0;1980000.0;Município
09032025-080855;2025;Especial;IMPEDIDO;MUNICIPIO DE GOIANORTE;25086612000170;TO;Banco do Brasil;1306;;4;;Ricardo Ayres;2025;202544590002;202544590002-RICARDO AYRES;12-Educação / 361-Ensino Fundamental , 12-Educação / 365-Educação Infantil , 12-Educação / 368-Educação Básica;Não informado;0.0;396000.0;Município
09032025-084888;2025;Especial;IMPEDIDO;MUNICIPIO DE GUARAI;02070548000133;TO;Caixa Econômica Federal;4481;;4;;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;10-Saúde / 305-Vigilância Epidemiológica;Não informado;0.0;495000.0;Município
09032025-076392;2025;Especial;IMPEDIDO;MUNICIPIO DE ITACAJA;02411726000142;TO;Banco do Brasil;1595;;4;;Antonio Andrade;2025;202543050005;202543050005-ANTONIO ANDRADE;18-Gestão Ambiental / 541-Preservação e Conservação Ambiental;Não informado;297000.0;0.0;Município
09032025-2-088302;2025;Especial;CIENTE;MUNICIPIO DE DIVINOPOLIS DO TOCANTINS;24851461000136;TO;Banco do Brasil;3812;19149;1;3;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;396000.0;Município
09032025-084371;2025;Especial;IMPEDIDO;MUNICIPIO DE LAGOA DA CONFUSAO;26753137000100;TO;Caixa Econômica Federal;861;;3;;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;396000.0;Município
09032025-077037;2025;Especial;IMPEDIDO;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Banco do Brasil;1867;;8;;Lázaro Botelho;2025;202524290005;202524290005-LÁZARO BOTELHO;17-Saneamento / 511-Saneamento Básico Rural;Não informado;0.0;396000.0;Município
09032025-084546;2025;Especial;IMPEDIDO;MUNICIPIO DE MONTE DO CARMO;01067891000166;TO;Caixa Econômica Federal;1829;;5;;Alexandre Guimarães;2025;202542940004;202542940004-ALEXANDRE GUIMARÃES;12-Educação / 361-Ensino Fundamental , 12-Educação / 365-Educação Infantil;Não informado;0.0;297000.0;Município
09032025-077795;2025;Especial;IMPEDIDO;MUNICIPIO DE MONTE SANTO DO TOCANTINS;01613093000192;TO;Caixa Econômica Federal;1141;;0;;Carlos Henrique Gaguim;2025;202530680010;202530680010-CARLOS HENRIQUE GAGUIM;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;495000.0;Município
09032025-077055;2025;Especial;IMPEDIDO;MUNICIPIO DE NATIVIDADE;01809474000141;TO;Caixa Econômica Federal;1829;;5;;Lázaro Botelho;2025;202524290005;202524290005-LÁZARO BOTELHO;13-Cultura / 392-Difusão Cultural , 23-Comércio e Serviços / 695-Turismo;Não informado;267300.0;0.0;Município
