codigo_plano;ano_plano;modalidade;situacao;beneficiario;cnpj_beneficiario;uf;banco;agencia;conta;dv_agencia;dv_conta;parlamentar;ano_emenda;numero_emenda;codigo_emenda;area_politica;programa_orcamentario;valor_custeio;valor_investimento;natureza_juridica
0903-003299;2020;Especial;CIENTE;MUNICIPIO DE DOIS IRMAOS DO TOCANTINS;02070563000181;TO;Banco do Brasil;804;51405;4;5;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;20-Agricultura / 606-Extensão Rural;Não informado;0.0;100000.0;Município
0903-003245;2020;Especial;CIENTE;MUNICIPIO DE APARECIDA DO RIO NEGRO;25086638000118;TO;Banco do Brasil;1867;69711;8;7;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;23-Comércio e Serviços / 695-Turismo;Não informado;0.0;200000.0;Município
0903-003286;2020;Especial;CIENTE;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Banco do Brasil;1886;105720;4;0;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;50000.0;200000.0;Município
0903-003256;2020;Especial;CIENTE;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Banco do Brasil;1886;105720;4;0;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 27-Desporto e Lazer / 812-Desporto Comunitário;Não informado;0.0;100000.0;Município
0903-003323;2020;Especial;CIENTE;MUNICIPIO DE COLMEIA;02070746000105;TO;Banco do Brasil;1306;24790;4;1;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Município
0903-003287;2020;Especial;CIENTE;MUNICIPIO DE FORTALEZA DO TABOCAO;37421112000126;TO;Banco do Brasil;2094;34137;X;1;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;400000.0;Município
0903-003360;2020;Especial;CIENTE;MUNICIPIO DE RIO DOS BOIS;37420932000101;TO;Banco do Brasil;862;36393;1;6;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana , 27-Desporto e Lazer / 813-Lazer;Não informado;0.0;450000.0;Município
0903-003363;2020;Especial;CIENTE;MUNICIPIO DE PALMEIROPOLIS;00007401000173;TO;Banco do Brasil;4608;16079;6;2;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;100000.0;Município
0903-003386;2020;Especial;CIENTE;MUNICIPIO DE ARAGUANA;25063892000109;TO;Banco do Brasil;3773;23769;7;8;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;11-Trabalho / 333-Empregabilidade;Não informado;250000.0;0.0;Município
0903-003437;2020;Especial;CIENTE;MUNICIPIO DE PARAISO DO TOCANTINS;00299180000154;TO;Banco do Brasil;804;51406;4;3;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;10-Saúde / 301-Atenção Básica , 10-Saúde / 302-Assistência Hospitalar e Ambulatorial , 10-Saúde / 303-Suporte Profilático e Terapêutico , 10-Saúde / 304-Vigilância Sanitária , 10-Saúde / 305-Vigilância Epidemiológica;Não informado;0.0;1130000.0;Município
0903-003424;2020;Especial;CIENTE;MUNICIPIO DE CONCEICAO DO TOCANTINS;01067149000150;TO;Caixa Econômica Federal;3089;6672009;9;1;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;12-Educação / 361-Ensino Fundamental , 12-Educação / 365-Educação Infantil;Não informado;200000.0;50000.0;Município
0903-003457;2020;Especial;CIENTE;MUNICIPIO DE LAVANDEIRA;01618402000117;TO;Banco do Brasil;3977;13311;2;6;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;20-Agricultura / 608-Promoção da Produção Agropecuária;OEC2;0.0;150000.0;Município
0903-003487;2020;Especial;CIENTE;MUNICIPIO DE FATIMA;00114801000188;TO;Banco do Brasil;804;51408;4;X;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Não encontrado
0903-003534;2020;Especial;CIENTE;MUNICIPIO DE PALMEIRANTE;25064049000139;TO;Banco do Brasil;2064;20828;8;0;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 452-Serviços Urbanos;Não informado;90000.0;210000.0;Município
0903-003493;2020;Especial;CIENTE;MUNICIPIO DE XAMBIOA;02087211000139;TO;Banco do Brasil;3773;23771;7;X;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 20-Agricultura / 605-Abastecimento;Não informado;70000.0;180000.0;Município
0903-003541;2020;Especial;CIENTE;MUNICIPIO DE SANTA MARIA DO TOCANTINS;37421039000192;TO;Banco do Brasil;1595;30134;4;5;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 20-Agricultura / 605-Abastecimento;Não informado;110000.0;270000.0;Não encontrado
0903-003595;2020;Especial;CIENTE;MUNICIPIO DE AXIXA DO TOCANTINS;00766725000195;TO;Banco do Brasil;3975;27583;6;2;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;400000.0;Município
0903-003650;2020;Especial;CIENTE;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Banco do Brasil;1886;105720;4;0;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;250000.0;Município
0903-003663;2020;Especial;CIENTE;MUNICIPIO DE SAO SEBASTIAO DO TOCANTINS;00766733000131;TO;Banco do Brasil;3975;27584;6;0;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;100000.0;Município
0903-003604;2020;Especial;CIENTE;MUNICIPIO DE LAVANDEIRA;01618402000117;TO;Banco do Brasil;3977;13311;2;6;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;12-Educação / 365-Educação Infantil;OEC2;0.0;250000.0;Município
0903-003654;2020;Especial;CIENTE;MUNICIPIO DE GOIATINS;01832476000151;TO;Caixa Econômica Federal;610;6672001;6;9;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;350000.0;Município
0903-003726;2020;Especial;CIENTE;MUNICIPIO DE COLMEIA;02070746000105;TO;Banco do Brasil;1306;24790;4;1;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;70000.0;180000.0;Município
0903-003738;2020;Especial;CIENTE;MUNICIPIO DE AUGUSTINOPOLIS;00237206000130;TO;Banco do Brasil;3975;27585;6;9;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;3000 - TRANSFERENCIA DE CONVÊNIOS , ÓRGÃO: 03.09.00 -Secretaria Municipal de Infraestrutura e Transporte UNIDADE: 03.09.01 -Secretaria Municipal de Desenv. Urbano, Serviços e Transportes 26.782.0501.1.035 –Pavimentação de Vias Urbanas. 4.4.90.51.00 -Obras e Instalag6es Fonte de Recursos: 3000 -Transf. de Convênios;0.0;600000.0;Município
0903-003668;2020;Especial;CIENTE;MUNICIPIO DE DIANOPOLIS;01138957000161;TO;Caixa Econômica Federal;3089;6672008;9;3;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;12-Educação / 368-Educação Básica;Não informado;0.0;280000.0;Município
0903-003703;2020;Especial;CIENTE;MUNICIPIO DE CASEARA;24851487000184;TO;Banco do Brasil;804;51409;4;8;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;27-Desporto e Lazer / 812-Desporto Comunitário;Não informado;0.0;200000.0;Município
0903-003685;2020;Especial;CIENTE;MUNICIPIO DE APARECIDA DO RIO NEGRO;25086638000118;TO;Banco do Brasil;1867;69711;8;7;Irajá;2020;202040960005;202040960005-Irajá;23-Comércio e Serviços / 695-Turismo;Não informado;50000.0;150000.0;Município
0903-003787;2020;Especial;CIENTE;MUNICIPIO DE GOIANORTE;25086612000170;TO;Banco do Brasil;1306;24791;4;X;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
0903-003791;2020;Especial;CIENTE;MUNICIPIO DE PALMEIRANTE;25064049000139;TO;Banco do Brasil;2064;20828;8;0;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;360000.0;Município
0903-003834;2020;Especial;CIENTE;MUNICIPIO DE FORTALEZA DO TABOCAO;37421112000126;TO;Banco do Brasil;2094;34137;X;1;Irajá;2020;202040960005;202040960005-Irajá;12-Educação / 361-Ensino Fundamental , 15-Urbanismo / 451-Infraestrutura Urbana;Não informado;50000.0;200227.0;Município
09032024-072615;2024;Especial;CIENTE;MUNICIPIO DE SAO FELIX DO TOCANTINS;26753145000157;TO;Banco do Brasil;2781;57727;2;8;Vicentinho Júnior;2024;202437750011;202437750011-Vicentinho Júnior;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 17-Saneamento / 512-Saneamento Básico Urbano , 18-Gestão Ambiental / 541-Preservação e Conservação Ambiental , 20-Agricultura / 605-Abastecimento , 20-Agricultura / 606-Extensão Rural , 20-Agricultura / 608-Promoção da Produção Agropecuária , 23-Comércio e Serviços / 695-Turismo , 26-Transporte / 782-Transporte Rodoviário;Não informado;0.0;250000.0;Não encontrado
0903-003859;2020;Especial;CIENTE;MUNICIPIO DE CHAPADA DE AREIA;01625984000169;TO;Banco do Brasil;804;51402;4;0;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;50000.0;200000.0;Município
0903-003775;2020;Especial;CIENTE;MUNICIPIO DE DIVINOPOLIS DO TOCANTINS;24851461000136;TO;Banco do Brasil;3812;15075;1;4;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;10.07.15.451.0501.1.012;0.0;400000.0;Município
0903-003797;2020;Especial;CIENTE;MUNICIPIO DE CHAPADA DA NATIVIDADE;01613086000190;TO;Banco do Brasil;3980;14291;2;3;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;70000.0;180000.0;Município
0903-003888;2020;Especial;CIENTE;MUNICIPIO DE MIRANORTE;02070720000159;TO;Banco do Brasil;4560;13972;8;6;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;350000.0;Município
0903-003895;2020;Especial;CIENTE;MUNICIPIO DE ARAGOMINAS;25063884000154;TO;Banco do Brasil;638;102753;6;0;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;8-Assistência Social / 244-Assistência Comunitária;Não informado;250000.0;0.0;Município
0903-003923;2020;Especial;CIENTE;MUNICIPIO DE ARAGUANA;25063892000109;TO;Banco do Brasil;3773;23769;7;8;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;27-Desporto e Lazer / 812-Desporto Comunitário;Não informado;0.0;200000.0;Município
0903-003984;2020;Especial;CIENTE;MUNICIPIO DE ARAGUANA;25063892000109;TO;Banco do Brasil;3773;23769;7;8;Irajá;2020;202040960005;202040960005-Irajá;11-Trabalho / 333-Empregabilidade , 15-Urbanismo / 452-Serviços Urbanos;Não informado;50000.0;200000.0;Município
0903-003989;2020;Especial;CIENTE;MUNICIPIO DE DOIS IRMAOS DO TOCANTINS;02070563000181;TO;Banco do Brasil;804;51405;4;5;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;400000.0;Município
0903-003973;2020;Especial;CIENTE;MUNICIPIO DE TUPIRATINS;37420692000137;TO;Banco do Brasil;911;35814;3;2;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;26-Transporte / 782-Transporte Rodoviário;Não informado;100000.0;0.0;Município
0903-003951;2020;Especial;CIENTE;MUNICIPIO DE MIRACEMA DO TOCANTINS;02070357000171;TO;Caixa Econômica Federal;1737;6672007;0;1;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;450000.0;Município
0903-004012;2020;Especial;CIENTE;MUNICIPIO DE SAO FELIX DO TOCANTINS;26753145000157;TO;Banco do Brasil;2781;41459;2;X;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;90000.0;210000.0;Não encontrado
0903-004075;2020;Especial;CIENTE;MUNICIPIO DE BABACULANDIA;02401248000190;TO;Banco do Brasil;638;102754;6;9;Irajá;2020;202040960005;202040960005-Irajá;8-Assistência Social / 241-Assistência ao Idoso , 8-Assistência Social / 242-Assistência ao Portador de Deficiência , 8-Assistência Social / 243-Assistência à Criança e ao Adolescente , 8-Assistência Social / 244-Assistência Comunitária , 12-Educação / 361-Ensino Fundamental , 12-Educação / 362-Ensino Médio , 12-Educação / 363-Ensino Profissional , 12-Educação / 364-Ensino Superior , 12-Educação / 365-Educação Infantil , 12-Educação / 366-Educação de Jovens e Adultos , 12-Educação / 367-Educação Especial , 12-Educação / 368-Educação Básica , 15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 15-Urbanismo / 453-Transportes Coletivos Urbanos;Não informado;50000.0;200000.0;Município
0903-004120;2020;Especial;CIENTE;MUNICIPIO DE NOVO ACORDO;01067933000169;TO;Banco do Brasil;1505;66505;9;3;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 17-Saneamento / 511-Saneamento Básico Rural , 17-Saneamento / 512-Saneamento Básico Urbano , 20-Agricultura / 605-Abastecimento , 20-Agricultura / 606-Extensão Rural , 26-Transporte / 782-Transporte Rodoviário;Não informado;70000.0;180000.0;Município
0903-004051;2020;Especial;CIENTE;MUNICIPIO DE SAMPAIO;25086828000135;TO;Banco do Brasil;3975;27587;6;5;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 27-Desporto e Lazer / 813-Lazer;Não informado;70000.0;180000.0;Município
0903-004218;2020;Especial;CIENTE;MUNICIPIO DE DARCINOPOLIS;25064072000123;TO;Banco do Brasil;810;41917;9;6;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 26-Transporte / 782-Transporte Rodoviário;Não informado;50000.0;200000.0;Não encontrado
0903-004150;2020;Especial;CIENTE;MUNICIPIO DE TAGUATINGA;02306900000197;TO;Banco do Brasil;2704;18858;9;1;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
0903-004152;2020;Especial;CIENTE;MUNICIPIO DE COUTO DE MAGALHAES;02133098000180;TO;Caixa Econômica Federal;4481;6672008;4;7;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;50000.0;200000.0;Município
0903-004199;2020;Especial;CIENTE;MUNICIPIO DE PIUM;01189497000109;TO;Banco do Brasil;804;51407;4;1;Irajá;2020;202040960005;202040960005-Irajá;8-Assistência Social / 243-Assistência à Criança e ao Adolescente , 15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;70000.0;180000.0;Município
0903-004216;2020;Especial;CIENTE;MUNICIPIO DE FATIMA;00114801000188;TO;Banco do Brasil;804;51408;4;X;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;70000.0;180000.0;Não encontrado
0903-004130;2020;Especial;CIENTE;MUNICIPIO DE SANTA TEREZINHA DO TOCANTINS;01634030000112;TO;Banco do Brasil;810;41915;9;X;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Município
0903-004133;2020;Especial;CIENTE;MUNICIPIO DE TUPIRAMA;01613619000134;TO;Banco do Brasil;1595;30133;4;7;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 452-Serviços Urbanos;Não informado;100000.0;0.0;Município
0903-004191;2020;Especial;CIENTE;MUNICIPIO DE PONTE ALTA DO TOCANTINS;01067974000155;TO;Banco do Brasil;1117;50758;7;X;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 26-Transporte / 782-Transporte Rodoviário;Não informado;70000.0;180000.0;Município
0903-004181;2020;Especial;CIENTE;MUNICIPIO DE RIO DOS BOIS;37420932000101;TO;Banco do Brasil;862;36393;1;6;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;50000.0;200000.0;Município
0903-004208;2020;Especial;CIENTE;MUNICIPIO DE XAMBIOA;02087211000139;TO;Banco do Brasil;3773;23771;7;X;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Município
0903-004244;2020;Especial;CIENTE;MUNICIPIO DE LUZINOPOLIS;01631059000140;TO;Banco do Brasil;810;41916;9;8;Irajá;2020;202040960005;202040960005-Irajá;10-Saúde / 301-Atenção Básica , 15-Urbanismo / 451-Infraestrutura Urbana , 17-Saneamento / 511-Saneamento Básico Rural , 26-Transporte / 782-Transporte Rodoviário;Não informado;70000.0;180000.0;Município
0903-004261;2020;Especial;CIENTE;MUNICIPIO DE SAO BENTO DO TOCANTINS;25063983000136;TO;Banco do Brasil;1305;35461;6;9;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Não encontrado
0903-004202;2020;Especial;CIENTE;MUNICIPIO DE COUTO DE MAGALHAES;02133098000180;TO;Caixa Econômica Federal;4481;6672008;4;7;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
0903-004241;2020;Especial;CIENTE;MUNICIPIO DE ITAGUATINS;01395458000150;TO;Banco do Brasil;810;41920;9;6;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;26-Transporte / 782-Transporte Rodoviário;Não informado;0.0;100000.0;Município
0903-004302;2020;Especial;CIENTE;MUNICIPIO DE LUZINOPOLIS;01631059000140;TO;Caixa Econômica Federal;3385;6672007;5;4;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;11-Trabalho / 334-Fomento ao Trabalho , 20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;150000.0;Município
0903-004280;2020;Especial;CIENTE;MUNICIPIO DE CENTENARIO;37420676000144;TO;Banco do Brasil;2094;34136;X;3;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;50000.0;200000.0;Município
0903-004333;2020;Especial;CIENTE;MUNICIPIO DE SANTA MARIA DO TOCANTINS;37421039000192;TO;Banco do Brasil;1595;30134;4;5;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 452-Serviços Urbanos , 26-Transporte / 782-Transporte Rodoviário;Não informado;170000.0;0.0;Não encontrado
0903-004323;2020;Especial;CIENTE;MUNICIPIO DE PALMEIRANTE;25064049000139;TO;Banco do Brasil;2064;20828;8;0;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;300000.0;Município
0903-004316;2020;Especial;CIENTE;MUNICIPIO DE PRAIA NORTE;25061789000111;TO;Banco do Brasil;3975;27586;6;7;Irajá;2020;202040960005;202040960005-Irajá;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;90000.0;210000.0;Município
0903-004317;2020;Especial;CIENTE;MUNICIPIO DE SAO SALVADOR DO TOCANTINS;37344371000109;TO;Banco do Brasil;4608;16078;6;4;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 452-Serviços Urbanos;2041-MANUTENÇAO DA ILUMINAÇAO PUBLICA;50000.0;190000.0;Município
0903-004351;2020;Especial;CIENTE;MUNICIPIO DE COMBINADO;33255043000177;TO;Banco do Brasil;3977;13312;2;4;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;02408 PAVIMENTACAO DE VIAS URBANAS;50000.0;200000.0;Município
0903-004372;2020;Especial;CIENTE;MUNICIPIO DE PAU D:ARCO;25063991000182;TO;Caixa Econômica Federal;1116;6672006;9;7;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 27-Desporto e Lazer / 812-Desporto Comunitário , 27-Desporto e Lazer / 813-Lazer;Não informado;100000.0;250000.0;Município
09032025-077796;2025;Especial;IMPEDIDO;MUNICIPIO DE ARAGUACEMA;02070621000177;TO;Caixa Econômica Federal;1141;;0;;Carlos Henrique Gaguim;2025;202530680010;202530680010-CARLOS HENRIQUE GAGUIM;15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;990000.0;Município
0903-004423;2020;Especial;CIENTE;MUNICIPIO DE SAO SALVADOR DO TOCANTINS;37344371000109;TO;Banco do Brasil;4608;16078;6;4;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;120000.0;Município
0903-004443;2020;Especial;CIENTE;MUNICIPIO DE CENTENARIO;37420676000144;TO;Banco do Brasil;2094;34136;X;3;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;300000.0;Município
0903-004381;2020;Especial;CIENTE;MUNICIPIO DE MIRACEMA DO TOCANTINS;02070357000171;TO;Caixa Econômica Federal;1737;6672007;0;1;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
0903-004422;2020;Especial;CIENTE;MUNICIPIO DE CHAPADA DA NATIVIDADE;01613086000190;TO;Banco do Brasil;3980;14291;2;3;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Município
0903-004478;2020;Especial;CIENTE;MUNICIPIO DE ARAGOMINAS;25063884000154;TO;Banco do Brasil;638;102753;6;0;Irajá;2020;202040960005;202040960005-Irajá;8-Assistência Social / 244-Assistência Comunitária , 15-Urbanismo / 451-Infraestrutura Urbana;Não informado;50000.0;200000.0;Município
0903-004508;2020;Especial;CIENTE;MUNICIPIO DE COUTO DE MAGALHAES;02133098000180;TO;Banco do Brasil;1306;24788;4;X;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;600000.0;Município
0903-004528;2020;Especial;CIENTE;MUNICIPIO DE LAGOA DA CONFUSAO;26753137000100;TO;Caixa Econômica Federal;861;6672005;3;7;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;150000.0;Município
0903-004550;2020;Especial;CIENTE;MUNICIPIO DE ESPERANTINA;25064080000170;TO;Banco do Brasil;3975;27582;6;4;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;7M63;0.0;300000.0;Não encontrado
0903-004624;2020;Especial;CIENTE;MUNICIPIO DE BABACULANDIA;02401248000190;TO;Banco do Brasil;638;102754;6;9;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 15-Urbanismo / 453-Transportes Coletivos Urbanos;Não informado;0.0;250000.0;Município
0903-004638;2020;Especial;CIENTE;MUNICIPIO DE PONTE ALTA DO TOCANTINS;01067974000155;TO;Banco do Brasil;1117;50758;7;X;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;1004-implantação de Infraestrutura Urbana;0.0;250000.0;Município
0903-004579;2020;Especial;CIENTE;MUNICIPIO DE ESPERANTINA;25064080000170;TO;Banco do Brasil;3975;27582;6;4;Irajá;2020;202040960005;202040960005-Irajá;10-Saúde / 301-Atenção Básica , 15-Urbanismo / 452-Serviços Urbanos , 17-Saneamento / 512-Saneamento Básico Urbano , 27-Desporto e Lazer / 812-Desporto Comunitário;00VH;50000.0;150000.0;Não encontrado
0903-004667;2020;Especial;CIENTE;MUNICIPIO DE COUTO DE MAGALHAES;02133098000180;TO;Banco do Brasil;1306;24788;4;X;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Município
0903-004578;2020;Especial;CIENTE;MUNICIPIO DE DIANOPOLIS;01138957000161;TO;Caixa Econômica Federal;3089;6672008;9;3;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;10-Saúde / 301-Atenção Básica;Não informado;0.0;100000.0;Município
0903-004677;2020;Especial;CIENTE;MUNICIPIO DE MIRANORTE;02070720000159;TO;Banco do Brasil;4560;13972;8;6;Professora Dorinha Seabra Rezende;2020;202026930009;202026930009-Professora Dorinha Seabra Rezende;12-Educação / 361-Ensino Fundamental , 12-Educação / 362-Ensino Médio , 12-Educação / 363-Ensino Profissional , 12-Educação / 364-Ensino Superior , 12-Educação / 365-Educação Infantil , 12-Educação / 366-Educação de Jovens e Adultos , 12-Educação / 367-Educação Especial , 12-Educação / 368-Educação Básica;Não informado;0.0;280000.0;Município
0903-004705;2020;Especial;CIENTE;MUNICIPIO DE LUZINOPOLIS;01631059000140;TO;Banco do Brasil;810;41916;9;8;Kátia Abreu;2020;202023590009;202023590009-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;250000.0;Município
0903-004628;2020;Especial;CIENTE;MUNICIPIO DE SILVANOPOLIS;00114819000180;TO;Caixa Econômica Federal;1829;6672006;5;3;Osires Damaso;2020;202041220007;202041220007-Osires Damaso;26-Transporte / 782-Transporte Rodoviário;Não informado;0.0;150000.0;Município
