codigo_plano;situacao;data_inicio;data_fim;ente_recebedor;municipio;uf;cnpj_recebedor;fundo_repassador;orgao_repassador;sigla_orgao;fundo_recebedor;valor_emenda;valor_especifico;valor_voluntario;valor_total_repasse;valor_total_plano;saldo_disponivel;natureza_juridica
30882120230002-014624;AUTORIZADO;2023-07-11;2024-12-31;MUNICIPIO DE GOIATINS;GOIATINS;TO;01832476000151;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Fundo Municipal de Cultura de Goiatins;0.0;123904.72;0.0;123904.72;123904.72;0.0;Município
30882120250002-022882;AUTORIZADO;2025-04-15;2029-12-31;MUNICIPIO DE CARIRI DO TOCANTINS;CARIRI DO TOCANTINS;TO;37344397000149;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;172621.04;0.0;172621.04;172621.04;0.0;Município
30882120230002-012260;AUTORIZADO;2023-06-28;2024-12-31;MUNICIPIO DE CARIRI DO TOCANTINS;CARIRI DO TOCANTINS;TO;37344397000149;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;55678.63;0.0;55678.63;55678.63;0.0;Município
30882120250002-025321;AUTORIZADO;2025-05-09;2029-12-31;MUNICIPIO DE CASEARA;CASEARA;TO;24851487000184;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;192084.76;0.0;192084.76;192084.76;0.0;Município
30882120230002-013515;AUTORIZADO;2023-06-01;2024-12-31;MUNICIPIO DE CENTENARIO;CENTENÁRIO;TO;37420676000144;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;45060.06;0.0;45060.06;45060.06;0.0;Município
30882120250002-024599;AUTORIZADO;2025-04-15;2029-12-31;MUNICIPIO DE CENTENARIO;CENTENÁRIO;TO;37420676000144;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;127190.72;0.0;127190.72;127190.72;0.0;Município
30882120230005-017654;AUTORIZADO;2023-11-29;2025-12-31;MUNICIPIO DE CHAPADA DA NATIVIDADE;CHAPADA DA NATIVIDADE;TO;01613086000190;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;38142.02;0.0;38142.02;38142.02;0.0;Município
30882120230002-010270;AUTORIZADO;2023-06-14;2024-12-31;MUNICIPIO DE CHAPADA DA NATIVIDADE;CHAPADA DA NATIVIDADE;TO;01613086000190;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;47581.37;0.0;47581.37;47581.37;0.0;Município
30882120250002-024742;AUTORIZADO;2025-05-19;2029-12-31;MUNICIPIO DE CHAPADA DA NATIVIDADE;CHAPADA DA NATIVIDADE;TO;01613086000190;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;150831.64;0.0;150831.64;150831.64;0.0;Município
30882120250002-028394;AUTORIZADO;2025-04-15;2029-12-31;MUNICIPIO DE CHAPADA DE AREIA;CHAPADA DE AREIA;TO;01625984000169;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;114275.16;0.0;114275.16;114275.16;0.0;Município
30882120230002-014261;AUTORIZADO;2023-07-08;2024-12-31;MUNICIPIO DE CHAPADA DE AREIA;CHAPADA DE AREIA;TO;01625984000169;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;34316.79;0.0;34316.79;34316.79;0.0;Município
30882120230005-020504;AUTORIZADO;2023-12-08;2025-12-31;MUNICIPIO DE COLMEIA;COLMEIA;TO;02070746000105;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;72502.07;0.0;72502.07;72502.07;0.0;Município
30882120230002-014180;AUTORIZADO;2023-07-07;2024-12-31;MUNICIPIO DE COLMEIA;COLMEIA;TO;02070746000105;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;80469.18;0.0;80469.18;80469.18;0.0;Município
30882120250002-027717;AUTORIZADO;2025-04-15;2029-12-31;MUNICIPIO DE COLMEIA;COLMEIA;TO;02070746000105;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;285767.88;0.0;285767.88;285767.88;0.0;Município
30882120250002-026733;AUTORIZADO;2025-04-15;2029-12-31;MUNICIPIO DE COMBINADO;COMBINADO;TO;33255043000177;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;189533.24;0.0;189533.24;189533.24;0.0;Não encontrado
30882120230005-018358;AUTORIZADO;2023-12-04;2025-12-31;MUNICIPIO DE COMBINADO;COMBINADO;TO;33255043000177;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;47811.69;0.0;47811.69;47811.69;0.0;Não encontrado
30882120230002-013814;AUTORIZADO;2023-07-05;2024-12-31;MUNICIPIO DE COMBINADO;COMBINADO;TO;33255043000177;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;58248.45;0.0;58248.45;58248.45;0.0;Não encontrado
30882120230002-009234;AUTORIZADO;2023-05-31;2024-12-31;MUNICIPIO DE CRISTALANDIA;CRISTALÂNDIA;TO;01067156000152;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;74858.56;0.0;74858.56;74858.56;0.020000000004074536;Município
