id_proposta;uf_proponente;municipio_beneficiario;orgao_superior;natureza_juridica;nr_proposta;ano_proposta;orgao_concedente;modalidade;proponente;nr_convenio;dt_assinatura;situacao;subsituacao;dt_inicio_vigencia;dt_fim_vigencia;valor_global;valor_repasse;valor_contrapartida;valor_empenhado;valor_desembolsado;valor_saldo_tesouro;vl_saldo_reman_convenente;vl_rendimento_aplicacao;vl_ingresso_contrapartida;valor_saldo_conta;ano_assinatura;nr_emenda;parlamentar;tipo_parlamentar;valor_emenda;valor_pago
51668;TO;ARAGOMINAS;MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR;Administração Pública Municipal;15208/2009;2009;INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA;CONVENIO;MUNICIPIO DE ARAGOMINAS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
918667;TO;ARRAIAS;MINISTERIO DO ESPORTE;Administração Pública Municipal;53878/2014;2014;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE ARRAIAS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1206613;TO;PIUM;MINISTERIO DO ESPORTE;Administração Pública Municipal;53815/2017;2017;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE PIUM;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1930018;TO;MIRACEMA DO TOCANTINS;MINISTERIO DA DEFESA;Administração Pública Municipal;60777/2023;2023;MINISTERIO DA DEFESA;CONVENIO;MUNICIPIO DE MIRACEMA DO TOCANTINS;949020;07/12/2023;Em execução;;07/12/2023;21/11/2026;266334.0;259200.0;7134.0;259200.0;0.0;0.0;0.0;0.0;0.0;0.0;2023;71280012.0;BANCADA DE TOCANTINS;BANCADA;259200.0;0.0
138703;TO;PONTE ALTA DO TOCANTINS;MINISTERIO DO TURISMO;Administração Pública Municipal;98023/2009;2009;MINISTERIO DO TURISMO;CONVENIO;MUNICIPIO DE PONTE ALTA DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
930672;TO;BREJINHO DE NAZARÉ;MINISTERIO DO ESPORTE;Administração Pública Municipal;57744/2014;2014;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE BREJINHO DE NAZARE;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1535746;TO;PEIXE;MINISTERIO DO TURISMO;Administração Pública Municipal;2595/2020;2020;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE PEIXE;899183;22/06/2020;Convênio Rescindido;;22/06/2020;31/05/2023;290179.06;287306.0;2873.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020;30860018.0;DULCE MIRANDA;INDIVIDUAL;287306.0;0.0
640781;TO;PALMAS;MINISTERIO DO TURISMO;Administração Pública Estadual ou do Distrito Federal;45388/2012;2012;MINISTERIO DO TURISMO;CONVENIO;SECRETARIA DA CULTURA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;26890012.0;ANGELO AGNOLIN;INDIVIDUAL;200000.0;0.0
345564;TO;SILVANÓPOLIS;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Administração Pública Municipal;88073/2010;2010;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;CONVENIO;MUNICIPIO DE SILVANOPOLIS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
559127;TO;TALISMÃ;MINISTERIO DA SAUDE;Administração Pública Municipal;1850/2012;2012;FUNDACAO NACIONAL DE SAUDE;CONVENIO;MUNICIPIO DE TALISMA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
